,Listing ID,S,Sub Type,St#,St Name,City,MLS Area,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,LSqft/Ac,DOM/CDOM,View YN,Pool Private YN,BAC,Contract Status Change Date,MLS,County
1,PW19235294,A,SFR/D,215,Knoxville AVE  ,HB,15,STD,"$1,299,000 ",$508.41 ,"4/3,0,1,0",2555/A,1979/ASR,"3,188/0.0732",1/288,N,N,2.5,10/4/19,CRMLSM,Orange
1,OC19218076,A,SFR/D,17901,Denvale CIR  ,HB,15,STD,"$1,299,000 ",$491.67 ,"5/3,0,1,0",2642/A,1974/ASR,"6,262/0.1438",23/114,Y,N,2.5,9/12/19,CRMLSM,Orange
1,OC19131930,A,SFR/D,609,13th ST  ,HB,15,STD,"$1,299,900 ",$585.54 ,"3/2,0,1,0",2220/A,1980/ASR,"2,875/0.066",123/123,N,N,2,6/4/19,CRMLSM,Orange
1,OC19078520,A,SFR/D,7082,Foxboro CIR  ,HB,15,STD,"$1,299,999 ",$561.31 ,"5/3,0,0,0",2316/A,1998/ASR,"4,056/0.0931",180/180,Y,N,2.5,4/8/19,CRMLSM,Orange
1,OC19224843,A,SFR/D,5951,Kenbrook DR  ,HB,15,STD,"$1,349,000 ",$545.27 ,"4/2,0,1,0",2474/A,1976/ASR,"6,500/0.1492",10-Oct,N,Y,2.5,9/5/19,CRMLSM,Orange
1,OC19211033,A,SFR/D,17722,Falkirk LN  ,HB,15,STD,"$1,380,000 ",$528.53 ,"4/2,0,1,0",2611/S,1974/ASR,"6,882/0.158",31/141,Y,Y,2.5*,9/4/19,CRMLSM,Orange
1,SB19155432,A,SFR/D,315,21st ST  ,HB,15,STD,"$1,469,000 ",$516.71 ,"4/2,0,2,0",2843/A,1981/ASR,"2,938/0.0674",96/96,Y,N,3,7/1/19,CRMLSM,Orange
1,OC19168375,A,SFR/D,502,10th ST  ,HB,15,STD,"$1,495,000 ",$648.31 ,"3/2,0,1,0",2306/A,1988/ASR,"2,875/0.066",78/78,N,N,2.5,7/13/19,CRMLSM,Orange
1,PW19223967,A,SFR/D,7376,Siena DR  ,HB,15,STD,"$1,548,000 ",$498.71 ,"5/3,0,1,0",3104/A,2001/ASR,"5,000/0.1148",16/96,N,N,2.25,9/19/19,CRMLSM,Orange
1,OC19222655,A,SFR/D,611,21st ST  ,HB,15,STD,"$1,549,000 ",$574.55 ,"3/3,0,1,0",2696/A,1990/ASR,"2,875/0.066",16/16,Y,N,2.5,9/18/19,CRMLSM,Orange
1,OC19231671,A,SFR/D,515,Pecan AVE  ,HB,15,STD,"$1,625,000 ",$680.77 ,"3/3,0,1,0",2387/A,2000/PUB,"2,938/0.0674",4-Apr,Y,N,2.5,9/20/19,CRMLSM,Orange
1,OC19174731,A,SFR/D,6941,Church CIR  ,HB,15,STD,"$1,675,000 ",$606.44 ,"5/4,0,0,0",2762/A,1972/ASR,"6,800/0.1561",34/34,Y,Y,2.5,7/24/19,CRMLSM,Orange
1,OC19103636,A,SFR/D,1113,California ST  ,HB,15,STD,"$1,750,000 ",$614.04 ,"3/3,0,1,0",2850/E,2005/ASR,"3,443/0.079",139/139,N,N,2.5,5/15/19,CRMLSM,Orange
1,PW19167572,A,SFR/D,6331,Beachview DR  ,HB,15,STD,"$1,980,000 ",$517.11 ,"4/3,0,1,0",3829/A,2002/PUB,"6,711/0.1541",81/81,Y,N,2,7/16/19,CRMLSM,Orange
1,OC19153294,A,SFR/D,810,Main   ,HB,15,STD,"$1,995,000 ",$712.50 ,"5/3,0,0,0",2800/E,1932/EST,"8,704/0.1998",98/98,Y,N,2.5,6/29/19,CRMLSM,Orange
1,OC19104172,A,SFR/D,1101,England ST  ,HB,15,STD,"$2,049,001 ",$642.92 ,"3/4,0,0,0",3187/E,2019/SLR,"3,190/0.0732",149/149,Y,N,2.5,5/9/19,CRMLSM,Orange
